SimTime,SPAD_tester.Anode,SPAD_tester.OUT,SPAD_tester.OUT_$flow,SPAD_tester.VOP,SPAD_tester.VPHOTON,SPAD_tester.net018
1.01756E-07,0.026532489,1.199917299,0,31.2,0,0
1.01825E-07,0.026023564,1.20007362,0,31.2,0,0
1.01903E-07,0.025461735,1.199922602,0,31.2,0,0
1.01908E-07,0.025427285,1.20000472,0,31.2,0,0
1.01918E-07,0.025358018,1.199989781,0,31.2,0,0
1.01938E-07,0.025220181,1.199998147,0,31.2,0,0
1.01959E-07,0.025065952,1.199991867,0,31.2,0,0
1.0197E-07,0.024989221,1.199995861,0,31.2,0,0
1.01981E-07,0.299958986,1.224898138,0,31.2,0,0
1.01986E-07,0.469228495,1.205034606,0,31.2,0,0
1.01991E-07,0.650465755,1.025793978,0,31.2,0,0
1.01996E-07,0.796830234,0.492927066,0,31.2,0,0
1.02002E-07,0.898617447,0.065492768,0,31.2,0,0
1.02006E-07,0.955198036,-0.003542276,0,31.2,0,0
1.0201E-07,1.003260822,0.005332204,0,31.2,0,0
1.02014E-07,1.043294505,0.001557688,0,31.2,0,0
1.02019E-07,1.077484515,0.001971676,0,31.2,0,0
1.02027E-07,1.12229106,0.000794718,0,31.2,0,0
1.02042E-07,1.164048831,0.000522963,0,31.2,0,0
1.02064E-07,1.178841075,-0.000163558,0,31.2,0,0
1.02071E-07,1.184343813,0.000376386,0,31.2,0,0
1.02086E-07,1.186631426,-0.000226113,0,31.2,0,0
1.02115E-07,1.18970216,0.000250993,0,31.2,0,0
1.02152E-07,1.192360841,-0.0001918,0,31.2,0,0
1.02224E-07,1.16891469,4.46E-05,0,31.2,0,0
1.02325E-07,1.136842676,-0.000186649,0,31.2,0,0
1.02436E-07,1.102759682,4.45E-05,0,31.2,0,0
1.02658E-07,1.037561717,-0.000193787,0,31.2,0,0
0.000000103,0.944346389,9.85E-05,0,31.2,0,0
1.03006E-07,0.94272425,-1.89E-05,0,31.2,0.075,0.075
1.03019E-07,0.93948605,-5.33E-05,0,31.2,0.225,0.225
1.03044E-07,0.933042791,-1.92E-05,0,31.2,0.525,0.525
1.03072E-07,0.925846054,-3.22E-05,0,31.2,0.8625,0.8625
1.03079E-07,0.967782386,0.002723689,0,31.2,0.946875,0.946875
1.03089E-07,1.069890433,0.002522543,0,31.2,1.0734375,1.0734375
1.031E-07,1.124039935,0.000381956,0,31.2,1.2,1.2
1.03112E-07,1.15047293,0.000508517,0,31.2,1.2,1.2
1.03133E-07,1.183234832,0.000219335,0,31.2,1.2,1.2
1.03154E-07,1.193285374,2.94E-06,0,31.2,1.2,1.2
1.03177E-07,1.197573736,7.31E-05,0,31.2,1.2,1.2
1.032E-07,1.199557202,-3.06E-05,0,31.2,1.2,1.2
1.03212E-07,1.200110579,7.64E-06,0,31.2,1.061352298,1.061352298
1.03235E-07,1.196874215,-6.25E-05,0,31.2,0.784056895,0.784056895
1.03267E-07,1.18620162,-7.76E-05,0,31.2,0.392028448,0.392028448
1.033E-07,1.175622774,-6.57E-05,0,31.2,2.06E-13,2.06E-13
1.03365E-07,1.154924587,-7.12E-05,0,31.2,0,0
1.03496E-07,1.114237361,-7.15E-05,0,31.2,0,0
1.03735E-07,1.043310588,-7.06E-05,0,31.2,0,0
1.03855E-07,1.009540098,-6.82E-05,0,31.2,0,0
1.04094E-07,0.94517897,-4.29E-05,0,31.2,0,0
1.04214E-07,0.914540582,-3.55E-06,0,31.2,0,0
1.04453E-07,0.856159954,0.000249501,0,31.2,0,0
1.04573E-07,0.828373919,0.000568113,0,31.2,0,0
1.04813E-07,0.77543843,0.00214411,0,31.2,0,0
1.05291E-07,0.679339032,0.015932428,0,31.2,0,0
1.05531E-07,0.635895403,0.036417579,0,31.2,0,0
1.06009E-07,0.55744094,0.282816773,0,31.2,0,0
1.06391E-07,0.502452474,0.780204899,0,31.2,0,0
1.06499E-07,0.487802072,0.918906478,0,31.2,0,0
1.06717E-07,0.459579082,1.08345546,0,31.2,0,0
1.0694E-07,0.432146369,1.142278693,0,31.2,0,0
1.07243E-07,0.397294332,1.168831867,0,31.2,0,0
1.07527E-07,0.367247673,1.183401497,0,31.2,0,0
1.07941E-07,0.327294136,1.191573638,0,31.2,0,0
1.0877E-07,0.259678868,1.198784838,0,31.2,0,0
1.09771E-07,0.196154827,1.199271443,0,31.2,0,0
1.11495E-07,0.120150599,1.200302184,0,31.2,0,0
1.11595E-07,0.116889279,1.199960316,0,31.2,0,0
1.11795E-07,0.110712838,1.199958648,0,31.2,0,0
1.11895E-07,0.107708218,1.199960905,0,31.2,0,0
1.12095E-07,0.102016156,1.199965324,0,31.2,0,0
1.12357E-07,0.094820989,1.199970166,0,31.2,0,0
1.12881E-07,0.081899302,1.199977146,0,31.2,0,0
1.13574E-07,0.06746106,1.199983115,0,31.2,0,0
1.13585E-07,0.067257555,1.199983179,0,31.2,0,0
1.13606E-07,0.06685238,1.19998333,0,31.2,0,0
1.1365E-07,0.066049325,1.199983611,0,31.2,0,0
1.13736E-07,0.064471952,1.199984163,0,31.2,0,0
1.13909E-07,0.061428776,1.199985178,0,31.2,0,0
1.14088E-07,0.058440698,1.199986134,0,31.2,0,0
1.14099E-07,0.058258877,1.199986188,0,31.2,0,0
1.14121E-07,0.057896929,1.199986302,0,31.2,0,0
1.14166E-07,0.057179751,1.199986521,0,31.2,0,0
1.14216E-07,0.056383527,1.199986763,0,31.2,0,0
1.14222E-07,0.056297608,1.199986789,0,31.2,0,0
1.14233E-07,0.056126162,1.199986841,0,31.2,0,0
1.1425E-07,0.055861655,1.19998692,0,31.2,0,0
1.14266E-07,0.421431946,1.209754856,0,31.2,0,0
